keyword_list,num_of_keywords,customer_input
card,38,ezlink card holder
card,38,china sim card
card,38,microsd card
card,38,sd card class 10
card,38,europe sim card
card,38,taiwan sim card
card,38,gift card
card,38,sd card 256gb
card,38,malaysia data card
card,38,sd card
card,38,graphic card
card,38,micro sd card 256gb
card,38,samsung micro sd card
card,38,pokemon trading card
card,38,thailand sim card
card,38,card holder
women,38,women tops
women,38,women jeans
women,38,women bags
women,38,swimming wear women
women,38,pyjamas women
women,38,jumpsuit women
women,38,boots women
women,38,women t shirt
women,38,belt for women
women,38,women pants
women,38,perfume for women
women,38,women bag
women,38,plus size women clothes
women,38,women wallet
women,38,shorts women
women,38,sunglasses for women
women,38,underwear women
women,38,backpacks women
women,38,socks women
women,38,dress for women
women,38,sandals women
women,38,watches for women
women,38,women winter boots
women,38,sweater for women
women,38,women sports wear
women,38,sweater women
women,38,jacket women
women,38,pants women
women,38,winter boots women
women,38,backpack women
women,38,rashguard women
women,38,women shorts
women,38,cardigan women
women,38,winter jacket women
women,38,women boots
women,38,wallet for women
women,38,women shoes
women,38,bags for women
men,37,men t shirt
men,37,men winter jacket
men,37,men underwear
men,37,sunglasses for men
men,37,socks men
men,37,men bag
men,37,men shoes
men,37,underwear men
men,37,men winter boots
men,37,perfume for men
men,37,winter jacket men
men,37,sling bag for men
men,37,men belt
men,37,slippers men
men,37,watches for men
men,37,wallet for men
men,37,jogger pants men
men,37,belt for men
men,37,men singlet
men,37,men wallet
kids,37,pyjamas kids
men,37,men pants
men,37,jacket men
men,37,men
men,37,men jacket
men,37,men socks
men,37,men watch
men,37,shoes men
men,37,shorts men
men,37,winter boots men
men,37,men shorts
men,37,men shoe
men,37,men shirt
men,37,messenger bag men
men,37,sandals men
men,37,men watches
men,37,backpack men
men,37,t shirts men
kids,37,kids dress
kids,37,scooter for kids
kids,37,indian dress kids
kids,37,kids table
kids,37,kids scooter
kids,37,kids jacket
kids,37,kids shoes
kids,37,kids wallet
kids,37,kids bed
kids,37,kids swimwear
kids,37,toys for kids
kids,37,swimming wear kids
kids,37,kids raincoat
kids,37,kids bag
kids,37,gps kids watch
kids,37,national day kids
kids,37,halloween costume for kids
kids,37,jaddee home & kids
kids,37,kids clothes
kids,37,kids underwear
kids,37,kids toys
kids,37,lantern kids
kids,37,kids watch
kids,37,kids bicycle
kids,37,kids water bottle
kids,37,kids pajamas
kids,37,kids tent
kids,37,kids pyjamas
kids,37,kids winter wear
kids,37,casio kids watch
kids,37,kids toy
kids,37,kids school bag
kids,37,kids luggage
kids,37,halloween costume kids
kids,37,kids costume
kids,37,kids socks
box,35,tv box
box,35,digital tv box
box,35,acrylic storage box
box,35,xiaomi tv box
box,35,tv box 2017
box,35,jewellery box
box,35,tupperware lunch box
box,35,cooler box
box,35,mooncake box
box,35,stackable storage box
box,35,android box
box,35,pencil box
box,35,watch winder box automatic
box,35,xiaomi box
box,35,pill box
box,35,electric lunch box
box,35,tissue box
box,35,gift box
box,35,Carton box
box,35,storage box
box,35,shoe box
box,35,android tv box
box,35,cat litter box
box,35,lunch box bag
box,35,plastic storage box
box,35,box
box,35,acrylic display box
box,35,thermal lunch box
box,35,lunch box
box,35,safe box
box,35,watch box
box,35,Cable box
box,35,tissue box holder
box,35,andriod tv box
box,35,cake box
camera,35,xiaoyi camera
camera,35,ip camera wireless wifi
camera,35,yi camera
camera,35,blackvue car camera
camera,35,camera cctv
camera,35,camera strap
camera,35,canon camera
camera,35,dash camera car camera
camera,35,dlink camera
camera,35,dash camera car camera
camera,35,polaroid camera
camera,35,spy camera hidden
camera,35,ip camera
camera,35,hidden camera
camera,35,security camera
camera,35,xiaomi camera
camera,35,cctv home camera
camera,35,drone with hd camera
camera,35,sony camera
camera,35,cctv camera
camera,35,car camera
camera,35,drone with camera
camera,35,spy camera
camera,35,in car camera
camera,35,digital camera
camera,35,camera tripod
camera,35,hidden cctv camera for home singapore
camera,35,action camera
camera,35,wifi camera
camera,35,camera bag
camera,35,home camera
camera,35,car camera recorder
camera,35,360 camera
camera,35,cctv camera wireless
camera,35,360 smart camera
8,34,nokia 8
8,34,iphone 8 plus screen protector
8,34,note 8 cover
8,34,samsung galaxy note 8 case
8,34,iphone 8 case
2,34,xiaomi band 2
2,34,mi mix 2
2,34,ipad air 2 case
2,34,samsung gear fit 2
2,34,mi max 2 case
2,34,mi band 2 xiaomi
2,34,pixel 2
2,34,xiaomi mix 2
8,34,galaxy note 8
8,34,note 8 spigen
8,34,note 8 casing
8,34,iphone 8 plus case spigen
8,34,samsung note 8 case
8,34,note 8 tempered glass
8,34,note 8 screen protector
8,34,iphone 8 plus
8,34,note 8 case
8,34,samsung galaxy note 8
8,34,iphone 8 casing
8,34,samsung note 8 cover
8,34,spigen iphone 8
2,34,gear fit 2
2,34,iPad Air 2
2,34,gear fit 2 pro
2,34,lenovo phab 2 plus
2,34,xiaomi mi max 2
2,34,miband 2
2,34,xiaomi mi mix 2
2,34,chromecast 2
2,34,google pixel 2
2,34,fitbit charge 2
2,34,fitbit charge 2 strap
2,34,ipad air 2 cover
2,34,xiaomi mi band 2
2,34,ipad mini 2
2,34,ipad 2 cover
2,34,xiaomi air purifier 2
2,34,mi max 2
2,34,apple watch series 2
2,34,mi band 2 strap
2,34,mi band 2
2,34,xiaomi max 2
2,34,google pixel 2 xl
2,34,fitbit flex 2
2,34,samsung gear fit 2 pro
2,34,bose soundlink mini 2
2,34,mi note 2
protector,34,samsung s7 screen protector
protector,34,s8 plus screen protector
protector,34,keyboard protector
protector,34,s7 screen protector
protector,34,iphone screen protector
protector,34,knee guard protector
protector,34,s7 edge screen protector
protector,34,screen protector iphone 7 plus
protector,34,waterproof mattress protector
protector,34,car seat protector
protector,34,screen protector iphone 7
protector,34,tempered glass protector
protector,34,note 8 screen protector
8,34,iphone 8 screen protector
protector,34,iphone 7 plus screen protector
protector,34,apple watch screen protector
protector,34,laptop privacy screen protector
protector,34,luggage cover protector
protector,34,screen protector iphone 6
protector,34,iphone 7 screen protector
protector,34,screen protector
protector,34,pillow protector
protector,34,samsung s8 screen protector
protector,34,ipad screen protector
protector,34,s8 screen protector
protector,34,screen protector note 8
protector,34,iphone x screen protector
8,34,iPhone 8 wireless charger
8,34,screen protector note 8
8,34,spigen note 8
8,34,iphone 8 plus casing
8,34,samsung note 8
8,34,iphone 8 plus case
8,34,samsung note 8 tempered glass
8,34,note 8 case spigen
8,34,iphone 8 plus tempered glass
8,34,whitestone dome glass note 8
8,34,samsung note 8 casing
8,34,note 8
8,34,spigen iphone 8 plus
protector,34,iphone 6 screen protector
protector,34,cable protector
